model,gene,variable,estimate,statistic,pval,FDR,model_group,variable_group
xlHDL_pct,J774.ind,xlHDL_pct,3.1283355691521155,0.2930851189458645,0.5882502627758353,0.7059003153310023,pct,pct
xlHDL_pct,J774.ind,avgBMI,-0.03614712112909805,0.49229656815244754,0.4829046426993974,0.8848215450015398,pct,avgBMI
xlHDL_pct,J774.ind,KCHCA_AGE_YR_CURRENT,0.04217875609864993,2.7464331038635748,0.09747165230278673,0.13561919420180987,pct,KCHCA_AGE_YR_CURRENT
xlHDL_pct,J774.ind,M0_KCVSEX,-0.5310517834330705,1.2222599898982769,0.2689175836822347,0.4457505520675823,pct,M0_KCVSEX
xlHDL_pct,J774.ind,(1 | FULLIDNO),1.7806838233739768,NA,0.18206537928462596,0.21847845514155115,pct,(1 | FULLIDNO)
xlHDL_pct,ABCA1.spec,xlHDL_pct,-6.250763511121632,0.7090098252707159,0.3997727219952813,0.5996590829929219,pct,pct
xlHDL_pct,ABCA1.spec,avgBMI,0.056552061704973115,0.7301218708548811,0.3928436882589239,0.5748436221652824,pct,avgBMI
xlHDL_pct,ABCA1.spec,KCHCA_AGE_YR_CURRENT,0.07121495555543747,4.74398240429957,0.029400937105235832,0.044783038741027,pct,KCHCA_AGE_YR_CURRENT
xlHDL_pct,ABCA1.spec,M0_KCVSEX,0.40504830641092643,0.43084572332275073,0.5115742562573813,0.7752100043514788,pct,M0_KCVSEX
xlHDL_pct,ABCA1.spec,(1 | FULLIDNO),2.021237955853394,NA,0.15511263842769013,0.25485006288505024,pct,(1 | FULLIDNO)
lHDL_pct,J774.ind,lHDL_pct,4.525497844979424,2.200983842392379,0.1379226844038501,0.4137680532115503,pct,pct
lHDL_pct,J774.ind,avgBMI,-0.009028471584827242,0.027519889642858317,0.8682425743318243,0.8976387755455747,pct,avgBMI
lHDL_pct,J774.ind,KCHCA_AGE_YR_CURRENT,0.03772375310640829,2.2269743539483335,0.13561919420180987,0.13561919420180987,pct,KCHCA_AGE_YR_CURRENT
lHDL_pct,J774.ind,M0_KCVSEX,-0.42018252894085095,0.7987786190585756,0.37145879338965193,0.4457505520675823,pct,M0_KCVSEX
lHDL_pct,J774.ind,(1 | FULLIDNO),2.2878554250201546,NA,0.13038997630794563,0.19722752576465277,pct,(1 | FULLIDNO)
lHDL_pct,ABCA1.spec,lHDL_pct,-0.515513533536907,0.016656279094682813,0.8973107995277364,0.8973107995277364,pct,pct
lHDL_pct,ABCA1.spec,avgBMI,0.05881731302353917,0.681149291948059,0.40919125033385645,0.5748436221652824,pct,avgBMI
lHDL_pct,ABCA1.spec,KCHCA_AGE_YR_CURRENT,0.06910389136475968,4.35817151007251,0.036831818408362915,0.044783038741027,pct,KCHCA_AGE_YR_CURRENT
lHDL_pct,ABCA1.spec,M0_KCVSEX,0.315266369566034,0.26225332732160583,0.6085762980033206,0.7752100043514788,pct,M0_KCVSEX
lHDL_pct,ABCA1.spec,(1 | FULLIDNO),1.5809898270836698,NA,0.20861817449965775,0.25485006288505024,pct,(1 | FULLIDNO)
mlHDL_pct,J774.ind,mlHDL_pct,-5.317332462271332,0.5940551598136141,0.440855283901939,0.6612829258529085,pct,pct
mlHDL_pct,J774.ind,avgBMI,-0.03715692460775579,0.5268551311739235,0.46793203674701406,0.8848215450015398,pct,avgBMI
mlHDL_pct,J774.ind,KCHCA_AGE_YR_CURRENT,0.042245280945489176,2.7830175635917267,0.09526851761245238,0.13561919420180987,pct,KCHCA_AGE_YR_CURRENT
mlHDL_pct,J774.ind,M0_KCVSEX,-0.43645028124289265,0.8323557294122069,0.36159222864553975,0.4457505520675823,pct,M0_KCVSEX
mlHDL_pct,J774.ind,(1 | FULLIDNO),2.375869758960903,NA,0.12322295151510322,0.19722752576465277,pct,(1 | FULLIDNO)
mlHDL_pct,ABCA1.spec,mlHDL_pct,-16.209322546638766,3.2979170753001386,0.06936779265839575,0.415320481298429,pct,pct
mlHDL_pct,ABCA1.spec,avgBMI,0.06219928453653548,0.9135629827153965,0.33917081867767135,0.5748436221652824,pct,avgBMI
mlHDL_pct,ABCA1.spec,KCHCA_AGE_YR_CURRENT,0.0644302893177833,4.026791298127996,0.044783038741027,0.044783038741027,pct,KCHCA_AGE_YR_CURRENT
mlHDL_pct,ABCA1.spec,M0_KCVSEX,0.42204040436402435,0.4660735482686502,0.49479908750269397,0.7752100043514788,pct,M0_KCVSEX
mlHDL_pct,ABCA1.spec,(1 | FULLIDNO),0.6537403008028377,NA,0.41877859010443697,0.41877859010443697,pct,(1 | FULLIDNO)
mHDL_pct,J774.ind,mHDL_pct,1.1178133703584272,0.11378386488118686,0.7358767096096368,0.7358767096096368,pct,pct
mHDL_pct,J774.ind,avgBMI,-0.041013177694398766,0.630083365101286,0.4273247366851285,0.8848215450015398,pct,avgBMI
mHDL_pct,J774.ind,KCHCA_AGE_YR_CURRENT,0.04382542483941913,2.9848583146928434,0.08404664259554905,0.13561919420180987,pct,KCHCA_AGE_YR_CURRENT
mHDL_pct,J774.ind,M0_KCVSEX,-0.4656751740091015,0.9393430921747102,0.33244683881123427,0.4457505520675823,pct,M0_KCVSEX
mHDL_pct,J774.ind,(1 | FULLIDNO),2.2748833554694556,NA,0.13148501717643518,0.19722752576465277,pct,(1 | FULLIDNO)
mHDL_pct,ABCA1.spec,mHDL_pct,-1.7835133803835768,0.17459504284434463,0.6760599233173845,0.8112719079808614,pct,pct
mHDL_pct,ABCA1.spec,avgBMI,0.06546047264712557,0.9674894438573929,0.3253071034296935,0.5748436221652824,pct,avgBMI
mHDL_pct,ABCA1.spec,KCHCA_AGE_YR_CURRENT,0.06802811161449984,4.334958808624326,0.03733731934965979,0.044783038741027,pct,KCHCA_AGE_YR_CURRENT
mHDL_pct,ABCA1.spec,M0_KCVSEX,0.2842576747008377,0.21096980949701255,0.6460083369595657,0.7752100043514788,pct,M0_KCVSEX
mHDL_pct,ABCA1.spec,(1 | FULLIDNO),1.5551616765609992,NA,0.21237505240420854,0.25485006288505024,pct,(1 | FULLIDNO)
sHDL_pct,J774.ind,sHDL_pct,-2.8599355719377946,0.660637952981193,0.416334812212688,0.6612829258529085,pct,pct
sHDL_pct,J774.ind,avgBMI,-0.028425679658438504,0.2905300997939955,0.5898810300010265,0.8848215450015398,pct,avgBMI
sHDL_pct,J774.ind,KCHCA_AGE_YR_CURRENT,0.04021142849191168,2.469571182604629,0.11606958711217827,0.13561919420180987,pct,KCHCA_AGE_YR_CURRENT
sHDL_pct,J774.ind,M0_KCVSEX,-0.4886258798345454,1.0668548728490488,0.30165693765927293,0.4457505520675823,pct,M0_KCVSEX
sHDL_pct,J774.ind,(1 | FULLIDNO),1.3193227313441866,NA,0.25071363539914415,0.25071363539914415,pct,(1 | FULLIDNO)
sHDL_pct,ABCA1.spec,sHDL_pct,6.643081505135121,2.195212003413414,0.13844016043280968,0.415320481298429,pct,pct
sHDL_pct,ABCA1.spec,avgBMI,0.037695011851458175,0.3146451564589113,0.5748436221652824,0.5748436221652824,pct,avgBMI
sHDL_pct,ABCA1.spec,KCHCA_AGE_YR_CURRENT,0.07623576476147097,5.46668237266505,0.019382385495088524,0.044783038741027,pct,KCHCA_AGE_YR_CURRENT
sHDL_pct,ABCA1.spec,M0_KCVSEX,0.3198140205110957,0.2814712316268391,0.5957385369509716,0.7752100043514788,pct,M0_KCVSEX
sHDL_pct,ABCA1.spec,(1 | FULLIDNO),1.9324609757139797,NA,0.164489453091672,0.25485006288505024,pct,(1 | FULLIDNO)
xsHDL_pct,J774.ind,xsHDL_pct,-19.353045792179934,6.972094163105631,0.008279055115852436,0.049674330695114614,pct,pct
xsHDL_pct,J774.ind,avgBMI,-0.006484702108792147,0.016549465056691384,0.8976387755455747,0.8976387755455747,pct,avgBMI
xsHDL_pct,J774.ind,KCHCA_AGE_YR_CURRENT,0.04195811010678881,3.016299861063099,0.08243134369553194,0.13561919420180987,pct,KCHCA_AGE_YR_CURRENT
xsHDL_pct,J774.ind,M0_KCVSEX,-0.2267684178740458,0.23958098670869715,0.6245089121298111,0.6245089121298111,pct,M0_KCVSEX
xsHDL_pct,J774.ind,(1 | FULLIDNO),2.8310210144164216,NA,0.09245956020935116,0.19722752576465277,pct,(1 | FULLIDNO)
xsHDL_pct,ABCA1.spec,xsHDL_pct,11.383526454180872,1.342089967067338,0.24666573437115777,0.49333146874231554,pct,pct
xsHDL_pct,ABCA1.spec,avgBMI,0.04311062045694003,0.4069451005792484,0.5235241382913223,0.5748436221652824,pct,avgBMI
xsHDL_pct,ABCA1.spec,KCHCA_AGE_YR_CURRENT,0.06938538883259965,4.589254943999515,0.03217299676377341,0.044783038741027,pct,KCHCA_AGE_YR_CURRENT
xsHDL_pct,ABCA1.spec,M0_KCVSEX,0.16833108398479127,0.07344767660266106,0.7863815581539401,0.7863815581539401,pct,M0_KCVSEX
xsHDL_pct,ABCA1.spec,(1 | FULLIDNO),1.744282979193997,NA,0.1865970587268382,0.25485006288505024,pct,(1 | FULLIDNO)
xlHDL,J774.ind,xlHDL,0.2566618687166523,0.5210281841071829,0.4704034171979507,0.6585647840771309,HDL,HDL
xlHDL,J774.ind,avgBMI,-0.038616812648405566,0.5696236671211005,0.45040849979484204,0.6361877730301996,HDL,avgBMI
xlHDL,J774.ind,KCHCA_AGE_YR_CURRENT,0.03993031493706168,2.399745362001069,0.12135500246627329,0.16989700345278258,HDL,KCHCA_AGE_YR_CURRENT
xlHDL,J774.ind,M0_KCVSEX,-0.5549585614755517,1.325637046967373,0.2495828772730918,0.3489849528974453,HDL,M0_KCVSEX
xlHDL,J774.ind,(1 | FULLIDNO),1.6618423105241504,NA,0.19735476228241597,0.24845245276880026,HDL,(1 | FULLIDNO)
xlHDL,ABCA1.spec,xlHDL,-0.5283040801246699,1.3456161919653065,0.24604596455303368,0.524410674364552,HDL,HDL
xlHDL,ABCA1.spec,avgBMI,0.06146446874099883,0.8796261845249433,0.34830408488210163,0.5834892465547277,HDL,avgBMI
xlHDL,ABCA1.spec,KCHCA_AGE_YR_CURRENT,0.07592679975769392,5.288891493848593,0.02146187701940647,0.03961544137451067,HDL,KCHCA_AGE_YR_CURRENT
xlHDL,ABCA1.spec,M0_KCVSEX,0.45672546172629425,0.5473035096466032,0.45942157655130456,0.8158920698773925,HDL,M0_KCVSEX
xlHDL,ABCA1.spec,(1 | FULLIDNO),2.312453146801033,NA,0.12834135833197194,0.27813551570173095,HDL,(1 | FULLIDNO)
lHDL,J774.ind,lHDL,0.3474659737317739,3.878511060967563,0.04890791276319584,0.1794733197949411,HDL,HDL
lHDL,J774.ind,avgBMI,-0.02014325490358187,0.15694688217679384,0.691983146543255,0.7813039658220851,HDL,avgBMI
lHDL,J774.ind,KCHCA_AGE_YR_CURRENT,0.030033718422264193,1.375089932165464,0.2409392843411452,0.2409392843411452,HDL,KCHCA_AGE_YR_CURRENT
lHDL,J774.ind,M0_KCVSEX,-0.5059571320185268,1.1979374775369183,0.2737343000844852,0.3489849528974453,HDL,M0_KCVSEX
lHDL,J774.ind,(1 | FULLIDNO),1.6400899972420575,NA,0.20031312059950887,0.24845245276880026,HDL,(1 | FULLIDNO)
lHDL,ABCA1.spec,lHDL,-0.14114982718428232,0.3663302239596388,0.5450114374718606,0.6564041312362581,HDL,HDL
lHDL,ABCA1.spec,avgBMI,0.05457405672727318,0.6593824869865642,0.4167780332533769,0.5834892465547277,HDL,avgBMI
lHDL,ABCA1.spec,KCHCA_AGE_YR_CURRENT,0.07393633717312297,4.769801383295579,0.02896316687740616,0.03961544137451067,HDL,KCHCA_AGE_YR_CURRENT
lHDL,ABCA1.spec,M0_KCVSEX,0.32966583729087673,0.291088839752099,0.589523619661831,0.8158920698773925,HDL,M0_KCVSEX
lHDL,ABCA1.spec,(1 | FULLIDNO),1.8161372390701445,NA,0.17777376057575442,0.27813551570173095,HDL,(1 | FULLIDNO)
mlHDL,J774.ind,mlHDL,0.10396127486199011,0.04177085528019634,0.838057187166744,0.9016226791980148,HDL,HDL
mlHDL,J774.ind,avgBMI,-0.040661898907020044,0.6115848060483864,0.4341917259190603,0.6361877730301996,HDL,avgBMI
mlHDL,J774.ind,KCHCA_AGE_YR_CURRENT,0.043500607628269634,2.939770041240867,0.08642303585769846,0.16989700345278258,HDL,KCHCA_AGE_YR_CURRENT
mlHDL,J774.ind,M0_KCVSEX,-0.5086372741904757,1.105227400636614,0.29312176374834403,0.3489849528974453,HDL,M0_KCVSEX
