##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	RS10252_S9_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	70916612
Sequences flagged as poor quality	0
Sequence length	50
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
2103	22	0.04649479493733821
2103	23	0.04855922772241428
2103	24	0.04444611570484369
2103	25	0.028535522923519352
2103	26	0.06073858707410551
2103	27	0.06756570418406227
2103	28	0.05309345989198988
2103	29	0.05084602744668132
2103	30	0.03559128783898302
2103	31	0.017799158071774457
2103	32	0.016199123585479924
2103	33	0.0458562936894964
2103	34	0.020114532451835032
2103	35	0.00489134783562406
2103	36	0.014743533218222638
2103	37	-0.004559837362492658
2103	38	-0.011603346037979634
2103	39	0.059343036062145416
2103	40	0.02644795283954693
2103	41	0.05045927159908814
2103	42	-0.012221054854656188
2103	43	0.04119318814659323
2103	44	0.02059174257905738
2103	45	0.016715282015503874
2103	46	0.018684068029912737
2103	47	-0.003792336811500263
2103	48	0.0017084109001572756
2103	49	-0.0014731856327472315
2103	50	0.013712624649727445
2104	1	0.027534288953404484
2104	2	-0.06195054864387117
2104	3	-0.00997480304632603
2104	4	0.017130483356780246
2104	5	0.011069613644977494
2104	6	0.06005317115086939
2104	7	0.023008390088797626
2104	8	0.012021245130064528
2104	9	-0.019863082733991178
2104	10	0.021427794922196597
2104	11	0.01719957878409417
2104	12	0.0510761266909725
2104	13	-0.016211270645129616
2104	14	0.005688400622119616
2104	15	0.039484236806309525
2104	16	0.020902935237920417
2104	17	0.007942077041981577
2104	18	-0.05822534160673598
2104	19	0.011528907925168141
2104	20	0.042628149383318714
2104	21	-0.01934706749747761
2104	22	0.02241888249768209
2104	23	0.051249572903806495
2104	24	0.057110770216901585
2104	25	0.02938593160774161
2104	26	0.03894359732431241
2104	27	0.02936013665472359
2104	28	0.0186293118049079
2104	29	0.002769776463175333
2104	30	-0.015709512526278502
2104	31	-5.601680394207165E-4
2104	32	-0.01918560929324542
2104	33	0.028170853521160666
2104	34	0.0046160487573985165
2104	35	0.029939835826112926
2104	36	0.0062695214342056715
2104	37	-0.014885929938763809
2104	38	-0.04553668406957456
2104	39	0.03382733280574968
2104	40	0.0030796073762004994
2104	41	0.03145710824566805
2104	42	-0.016343640750953625
2104	43	0.005372034117442581
2104	44	0.04197663839325827
2104	45	0.05285777595813812
2104	46	0.023710128068792358
2104	47	0.015152555569947879
2104	48	-0.01167154336948073
2104	49	0.02493274167760262
2104	50	0.004331453068523672
2105	1	0.10127265720125678
2105	2	0.05555976669197804
2105	3	0.030562170388783727
2105	4	0.042796268606572596
2105	5	0.07472887871819012
2105	6	0.04038160037655558
2105	7	0.03515567168539491
2105	8	0.03279163213719016
2105	9	0.013434804493989816
2105	10	0.039193917872822226
2105	11	0.017005328434834155
2105	12	0.05168927829049608
2105	13	0.023468504712226945
2105	14	0.04402929005944145
2105	15	0.032270290430084
2105	16	0.030715698067176334
2105	17	0.03333085079361098
2105	18	-0.009270856267171723
2105	19	0.035863103367972826
2105	20	0.010208863585880579
2105	21	0.04922411684626837
2105	22	0.06625177749324251
2105	23	0.024642429186066295
2105	24	0.0400978072973075
2105	25	0.060706489351687765
2105	26	0.059152997105826444
2105	27	0.028472325813410748
2105	28	0.03772275367889932
2105	29	0.023043578165797385
2105	30	0.045018603692426495
2105	31	0.01631810240272813
2105	32	0.022685149226639112
2105	33	0.08317828416340234
2105	34	0.03482667870358824
2105	35	0.043427148705070806
2105	36	0.04519773658556403
2105	37	0.03759847196454302
2105	38	0.026617810877468173
2105	39	0.06980534558367424
2105	40	0.05256193129525144
2105	41	0.035681538801064505
2105	42	0.005248053407449049
2105	43	0.03964911795269899
2105	44	0.03566433926157231
2105	45	0.06526720792830787
2105	46	0.010301482782786309
2105	47	0.02004950567197028
2105	48	0.09011736059163411
2105	49	0.0059652227979469785
2105	50	0.052617939263519986
2106	1	0.11434955292380522
2106	2	0.048494629494179264
2106	3	0.03727000643345946
2106	4	0.0438492070417027
2106	5	0.023657983577635378
2106	6	0.05812965719477603
2106	7	0.034279456154983734
2106	8	0.01394810584173456
2106	9	0.018772840499977406
2106	10	0.018688244566646972
2106	11	-0.004420088382197207
2106	12	0.02102251275344713
2106	13	0.0232774694843485
2106	14	0.054001681144924873
2106	15	0.024456540976366625
2106	16	0.03749264035022293
2106	17	0.02008943656657891
2106	18	0.006814290976734583
2106	19	0.03358205723176155
2106	20	0.027044078625344525
2106	21	0.028664693921420792
2106	22	0.025732660364880644
2106	23	0.02236268684996645
2106	24	0.04107593766399731
2106	25	0.018795495533687756
2106	26	0.02930094523389215
2106	27	0.025341256128264433
2106	28	-0.008330329974334916
2106	29	0.04097763477929561
2106	30	0.05865683030486224
2106	31	0.09089383732927558
2106	32	0.03749110232440245
2106	33	0.06633856429642293
2106	34	0.04494687278359777
2106	35	0.09259920057481708
2106	36	0.053627933170048436
2106	37	0.004282528608847258
2106	38	0.022929896766562763
2106	39	0.06766536211436147
2106	40	0.046189062665391134
2106	41	0.04019535857507606
2106	42	0.017425011976207827
2106	43	-0.004003887156677877
2106	44	0.042209012792532974
2106	45	0.05421117918246665
2106	46	0.0333041333663715
