Sample_Name	seqs	align.perc	PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS
RS102181	38646280	100	1210915744	1209038033		24943662	78382865	407321774	698389732	0	0	0	547267	491383	446079	0.526902	0.473098		0.020631	0.064831	0.336897	0.577641	0.085462	0.085329	0	1.911345	3.767586	0.027773	6.598086
RS102198	42465643	100	1266234127	1264029514		16487654	40489558	354841116	852211186	0	0	0	321352	300087	182945	0.517109	0.482891		0.013044	0.032032	0.280722	0.674202	0.045076	0.044997	0	1.697438	3.388465	0.041912	1.262195
RS102207	68767990	100	2046017529	2042746343		30150239	89495119	515731888	1407369097	0	0	0	639963	579286	487166	0.524883	0.475117		0.01476	0.043811	0.25247	0.688959	0.058571	0.058477	0	1.757284	3.649897	0.028234	1.826087
RS102209	62326419	100	1913433936	1909587419		34171363	70447431	724696958	1080271667	0	0	0	596040	562839	319344	0.514325	0.485675		0.017895	0.036891	0.379504	0.565709	0.054786	0.054676	0	1.676864	3.38706	0.087062	14.898305
RS102221	50796169	100	1571010682	1567799113		31198901	79483971	566761068	890355173	0	0	0	612609	530987	419852	0.535687	0.464313		0.0199	0.050698	0.361501	0.567901	0.070598	0.070453	0	1.648092	3.37737	0.052318	16.995475
RS102227	25859379	100	804289101	802909562		15977982	52171050	254448847	480311683	0	0	0	359022	319423	301305	0.529184	0.470816		0.0199	0.064977	0.316908	0.598214	0.084878	0.084732	0	1.947808	4.02594	0.016661	0.173267
RS102231	59687558	100	1819916939	1816434086		34985614	86397988	658677788	1036372696	0	0	0	673430	602159	446257	0.527937	0.472063		0.019261	0.047565	0.362621	0.570553	0.066825	0.066697	0	1.671782	3.454658	0.059352	16.790698
RS102241	28763222	100	889245308	887878791		17896647	60040869	259247269	550694006	0	0	0	409538	361036	355798	0.531471	0.468529		0.020157	0.067623	0.291985	0.620236	0.087779	0.087645	0	1.901388	3.876619	0.020515	0.867888
RS102253	37925199	100	1115881933	1114052439		15618580	32729296	320380919	745323644	0	0	0	280665	272496	132812	0.507384	0.492616		0.01402	0.029379	0.287582	0.66902	0.043398	0.043327	0	1.651776	3.150667	0.088898	1.917614
RS102255	39474877	100	1190106048	1187963323		22164971	57654513	420241184	687902655	0	0	0	436998	407188	289534	0.517656	0.482344		0.018658	0.048532	0.353749	0.579061	0.06719	0.067069	0	1.839786	3.614331	0.047141	7.411765
